Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
珈蟌科,細胸珈蟌,75875,12:13:00,2021-03-14,ying-o hsiung,新竹縣,峨眉鄉,石硬子,221,24.667756618373414,121.0444450378418,
珈蟌科,細胸珈蟌,75876,12:20:00,2021-03-14,ying-o hsiung,新竹縣,峨眉鄉,石硬子,222,24.667815116899916,121.04450941085814,
珈蟌科,細胸珈蟌,75934,11:45:00,2021-03-14,chuntinglu,台北市,士林區,帕米爾公園,310,25.122089915257437,121.5932035446167,
珈蟌科,細胸珈蟌,75870,12:19:00,2021-03-13,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668760839271894,121.04665517807005,
珈蟌科,細胸珈蟌,75871,12:28:00,2021-03-13,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668780338626814,121.046462059021,
珈蟌科,細胸珈蟌,75933,14:20:00,2021-03-13,chuntinglu,台北市,士林區,帕米爾公園,310,25.122089915257437,121.5932035446167,
珈蟌科,細胸珈蟌,75832,11:44:00,2021-03-11,ying-o hsiung,新竹縣,峨眉鄉,石硬子,215,24.668380601241854,121.04723453521729,
珈蟌科,細胸珈蟌,75833,13:44:00,2021-03-11,ying-o hsiung,新竹縣,峨眉鄉,石硬子,215,24.668380601241854,121.04723453521729,
珈蟌科,細胸珈蟌,75810,12:44:00,2021-03-10,ying-o hsiung,新竹縣,峨眉鄉,石硬子,219,24.668487847983066,121.0469341278076,
珈蟌科,細胸珈蟌,75811,13:49:00,2021-03-10,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668780338626814,121.04644060134886,
珈蟌科,細胸珈蟌,75797,13:24:00,2021-03-09,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66854634616668,121.04696631431578,
珈蟌科,細胸珈蟌,75798,13:33:00,2021-03-09,ying-o hsiung,新竹縣,峨眉鄉,石硬子,219,24.668507347380658,121.04695558547974,
珈蟌科,細胸珈蟌,75799,13:00:00,2021-03-09,neo,宜蘭縣,頭城鎮,福德坑溪,103,24.87148631935797,121.81044101715088,
珈蟌科,細胸珈蟌,75807,11:24:00,2021-03-09,Fenabi,新北市,坪林區,金瓜寮溪,367,24.884976592818585,121.66208267211914,
珈蟌科,細胸珈蟌,75808,10:45:00,2021-03-09,Fenabi,新北市,坪林區,金瓜寮溪,406,24.886086116848844,121.65669679641724,
珈蟌科,細胸珈蟌,75809,11:24:00,2021-03-09,Fenabi,新北市,坪林區,金瓜寮溪,367,24.884976592818585,121.66208267211914,
珈蟌科,細胸珈蟌,75649,12:23:00,2021-03-04,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,214,24.66833185269265,121.04736328125,
珈蟌科,細胸珈蟌,75650,12:39:00,2021-03-04,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,217,24.668429349772026,121.04708433151245,
珈蟌科,細胸珈蟌,75573,12:00:00,2021-02-28,skink,新北市,雙溪區,虎豹潭步道,386,24.971863957589356,121.82849228382109,
珈蟌科,細胸珈蟌,75535,13:31:00,2021-02-24,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.66879008830313,121.04736864566802,
珈蟌科,細胸珈蟌,75485,11:39:00,2021-02-21,joanne,台北市,士林區,巨木瞭望台,344,25.107829013776822,121.58060789108275,
珈蟌科,細胸珈蟌,63654,09:29:00,2020-06-03,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
珈蟌科,細胸珈蟌,65636,12:23:00,2020-05-30,lyajhoo,宜蘭縣,員山鄉,草埤,839,24.766667618783643,121.60453319549559,
