Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
蜻蜓科,紫紅蜻蜓,74501,2021-01-16,11:02:00,skink,桃園市,龍潭區,牛欄河橋下,248,24.82178055334962,121.20281875133514,
蜻蜓科,紫紅蜻蜓,74399,2021-01-14,12:16:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
蜻蜓科,紫紅蜻蜓,74403,2021-01-14,13:23:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73895,2020-12-29,12:37:00,skink,高雄市,旗山區,新光二號橋,64,22.823799408475015,120.4487693309784,
蜻蜓科,紫紅蜻蜓,73877,2020-12-28,09:30:00,chuntinglu,南投縣,埔里鎮,青蛙ㄚ婆民宿,468,23.942840587572334,120.93726396560668,
蜻蜓科,紫紅蜻蜓,74501,2021-01-16,11:02:00,skink,桃園市,龍潭區,牛欄河橋下,248,24.82178055334962,121.20281875133514,
蜻蜓科,紫紅蜻蜓,74399,2021-01-14,12:16:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
蜻蜓科,紫紅蜻蜓,74403,2021-01-14,13:23:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,74399,2021-01-14,12:16:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
蜻蜓科,紫紅蜻蜓,74399,2021-01-14,12:16:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
蜻蜓科,紫紅蜻蜓,74403,2021-01-14,13:23:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73895,2020-12-29,12:37:00,skink,高雄市,旗山區,新光二號橋,64,22.823799408475015,120.4487693309784,
蜻蜓科,紫紅蜻蜓,74399,2021-01-14,12:16:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
蜻蜓科,紫紅蜻蜓,74403,2021-01-14,13:23:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73895,2020-12-29,12:37:00,skink,高雄市,旗山區,新光二號橋,64,22.823799408475015,120.4487693309784,
蜻蜓科,紫紅蜻蜓,73877,2020-12-28,09:30:00,chuntinglu,南投縣,埔里鎮,青蛙ㄚ婆民宿,468,23.942840587572334,120.93726396560668,
蜻蜓科,紫紅蜻蜓,74120,2020-12-19,13:00:00,chenjn,台北市,大安區,大安森林公園,10,25.031503006855935,121.5368664264679,
蜻蜓科,紫紅蜻蜓,73551,2020-12-18,09:40:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
蜻蜓科,紫紅蜻蜓,73554,2020-12-18,14:10:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73559,2020-12-18,09:00:00,skink,苗栗縣,南庄鄉,田美大橋,152,24.633335231516597,121.01090669631958,
蜻蜓科,紫紅蜻蜓,73450,2020-12-15,09:35:00,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,698,23.92314938462221,120.89200973510742,
蜻蜓科,紫紅蜻蜓,73408,2020-12-14,09:25:00,chuntinglu,南投縣,魚池鄉,水上步道,565,23.92913159157789,120.91501235961914,
蜻蜓科,紫紅蜻蜓,73328,2020-12-12,13:51:00,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
蜻蜓科,紫紅蜻蜓,73166,2020-12-11,09:00:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73136,2020-12-10,09:40:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73132,2020-12-09,13:11:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73135,2020-12-09,13:14:00,skink,台北市,文山區,臺北市立動物園新光特展館,36,24.997384379442142,121.58313721418381,
蜻蜓科,紫紅蜻蜓,73059,2020-12-04,13:28:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73895,2020-12-29,12:37:00,skink,高雄市,旗山區,新光二號橋,64,22.823799408475015,120.4487693309784,
蜻蜓科,紫紅蜻蜓,73877,2020-12-28,09:30:00,chuntinglu,南投縣,埔里鎮,青蛙ㄚ婆民宿,468,23.942840587572334,120.93726396560668,
蜻蜓科,紫紅蜻蜓,74120,2020-12-19,13:00:00,chenjn,台北市,大安區,大安森林公園,10,25.031503006855935,121.5368664264679,
蜻蜓科,紫紅蜻蜓,73551,2020-12-18,09:40:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
蜻蜓科,紫紅蜻蜓,73554,2020-12-18,14:10:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73559,2020-12-18,09:00:00,skink,苗栗縣,南庄鄉,田美大橋,152,24.633335231516597,121.01090669631958,
蜻蜓科,紫紅蜻蜓,73450,2020-12-15,09:35:00,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,698,23.92314938462221,120.89200973510742,
蜻蜓科,紫紅蜻蜓,73408,2020-12-14,09:25:00,chuntinglu,南投縣,魚池鄉,水上步道,565,23.92913159157789,120.91501235961914,
蜻蜓科,紫紅蜻蜓,73328,2020-12-12,13:51:00,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
蜻蜓科,紫紅蜻蜓,73166,2020-12-11,09:00:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73136,2020-12-10,09:40:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73132,2020-12-09,13:11:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73877,2020-12-28,09:30:00,chuntinglu,南投縣,埔里鎮,青蛙ㄚ婆民宿,468,23.942840587572334,120.93726396560668,
蜻蜓科,紫紅蜻蜓,73551,2020-12-18,09:40:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
蜻蜓科,紫紅蜻蜓,73554,2020-12-18,14:10:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73559,2020-12-18,09:00:00,skink,苗栗縣,南庄鄉,田美大橋,152,24.633335231516597,121.01090669631958,
蜻蜓科,紫紅蜻蜓,73450,2020-12-15,09:35:00,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,698,23.92314938462221,120.89200973510742,
蜻蜓科,紫紅蜻蜓,73408,2020-12-14,09:25:00,chuntinglu,南投縣,魚池鄉,水上步道,565,23.92913159157789,120.91501235961914,
蜻蜓科,紫紅蜻蜓,73328,2020-12-12,13:51:00,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
蜻蜓科,紫紅蜻蜓,73166,2020-12-11,09:00:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73136,2020-12-10,09:40:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73132,2020-12-09,13:11:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73135,2020-12-09,13:14:00,skink,台北市,文山區,臺北市立動物園新光特展館,36,24.997384379442142,121.58313721418381,
蜻蜓科,紫紅蜻蜓,73059,2020-12-04,13:28:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73551,2020-12-18,09:40:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
蜻蜓科,紫紅蜻蜓,73554,2020-12-18,14:10:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73450,2020-12-15,09:35:00,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,698,23.92314938462221,120.89200973510742,
蜻蜓科,紫紅蜻蜓,73408,2020-12-14,09:25:00,chuntinglu,南投縣,魚池鄉,水上步道,565,23.92913159157789,120.91501235961914,
蜻蜓科,紫紅蜻蜓,73328,2020-12-12,13:51:00,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
蜻蜓科,紫紅蜻蜓,73166,2020-12-11,09:00:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73136,2020-12-10,09:40:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73132,2020-12-09,13:11:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73135,2020-12-09,13:14:00,skink,台北市,文山區,臺北市立動物園新光特展館,36,24.997384379442142,121.58313721418381,
蜻蜓科,紫紅蜻蜓,73059,2020-12-04,13:28:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,72737,2020-12-02,12:08:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,72679,2020-12-01,13:23:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,72668,2020-11-27,11:18:00,skink,苗栗縣,銅鑼鄉,新雞隆有機有魚步道,201,24.42878389524568,120.81173111919315,
蜻蜓科,紫紅蜻蜓,72676,2020-11-27,12:29:00,skink,苗栗縣,銅鑼鄉,珠湖橋,168,24.44377018833389,120.81207990646362,
蜻蜓科,紫紅蜻蜓,72632,2020-11-26,09:34:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
蜻蜓科,紫紅蜻蜓,72575,2020-11-25,09:25:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,72593,2020-11-25,12:27:00,skink,台北市,南港區,坑頭,124,25.016006542277147,121.58725976943968,
蜻蜓科,紫紅蜻蜓,72603,2020-11-25,14:04:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,72609,2020-11-25,15:12:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73132,2020-12-09,13:11:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,73135,2020-12-09,13:14:00,skink,台北市,文山區,臺北市立動物園新光特展館,36,24.997384379442142,121.58313721418381,
蜻蜓科,紫紅蜻蜓,73059,2020-12-04,13:28:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,72737,2020-12-02,12:08:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,72679,2020-12-01,13:23:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,紫紅蜻蜓,72668,2020-11-27,11:18:00,skink,苗栗縣,銅鑼鄉,新雞隆有機有魚步道,201,24.42878389524568,120.81173111919315,
